time,n1,n2,weight
1,09,36,11.581231
1,31,26,58.035572
1,20,30,2.7848372
1,07,04,15.920414
1,37,18,2.1164763
1,06,29,23.898035
1,16,21,14.313895
1,28,37,3.675461
1,21,33,12.235763
1,20,38,32.742283
1,06,15,5.4561
1,08,37,19.545975
1,02,11,21.537594
1,12,11,22.390045
1,07,31,12.83691
1,05,02,21.316675
1,24,33,25.876139
1,02,15,40.98467
1,03,06,22.795328
1,26,39,5.2477036
1,01,17,46.57669
1,11,31,11.337425
1,09,26,12.148334
1,35,19,15.867435
1,08,11,35.22491
1,25,30,33.98281
1,06,13,34.903812
1,37,28,3.675461
1,08,35,19.821016
1,16,15,22.55666
1,13,14,8.412886
1,22,39,12.898182
1,37,36,8.184375
1,24,02,8.99116
1,36,25,43.76147
1,30,15,11.418276
1,33,29,9.519372
1,05,26,32.942158
1,01,31,15.745834
1,22,29,3.2459316
1,27,37,27.666975
1,14,08,5.6073794
1,35,17,15.486202
1,33,24,25.876139
1,35,03,0.7594018
1,06,37,9.847584
1,23,05,14.381406
1,27,19,6.7305107
1,17,05,22.670246
1,16,37,1.7562561
1,14,27,50.456577
1,31,16,15.726268
1,18,03,11.751715
1,05,04,36.49519
1,06,22,42.67063
1,19,27,6.7305107
1,07,22,14.551005
1,12,06,41.419502
1,17,34,12.357096
1,15,12,1.3152531
1,04,05,36.49519
1,19,25,39.204636
1,23,25,9.213885
1,07,36,7.6369743
1,31,39,4.0466533
1,06,02,42.698483
1,25,14,25.234417
1,30,28,35.4053
1,16,35,60.33291
1,20,04,10.607076
1,21,16,14.313895
1,18,30,2.9151547
1,28,20,10.401811
1,26,09,12.148334
1,36,38,22.694338
1,36,11,9.465049
1,32,03,25.766954
1,15,05,12.671757
1,07,37,4.251971
1,32,07,30.899414
1,21,17,5.089972
1,23,22,34.04201
1,40,10,11.087566
1,13,26,4.80913
1,01,16,21.865458
1,34,30,56.664387
1,40,30,9.595094
1,21,31,21.46522
1,40,20,30.387959
1,16,03,13.965764
1,22,17,6.432298
1,18,28,31.49866
1,38,16,22.263391
1,02,30,43.448154
1,21,20,0.30382276
1,17,33,8.835835
1,01,03,24.652111
1,14,39,71.45774
1,15,22,4.2801085
1,28,11,23.764112
1,02,34,17.11995
1,32,10,9.524277
1,38,20,32.742283
1,01,18,14.508388
1,28,35,9.664413
1,24,39,9.396411
1,31,11,11.337425
1,19,17,1.19612
1,08,40,28.900484
1,08,20,27.023748
1,24,37,1.140274
1,17,40,20.745022
1,23,37,24.1061
1,16,10,24.40101
1,12,09,53.787518
1,19,02,17.226845
1,37,15,2.2784224
1,35,05,49.714466
1,40,03,58.878872
1,37,04,10.151649
1,37,26,23.505087
1,11,01,0.9473789
